Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BF,AF,Change,Change_Percent,Direction
BF_vs_AF,Gamma,2,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,657815.2872149716,676460.1719957604,18644.884780788794,2.834364774301105,Increase
BF_vs_AF,Gamma,2,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.4035144079178836,0.4039073774158948,0.0003929694980111531,0.0973867327411822,Increase
BF_vs_AF,Gamma,2,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1719046.623233544,1731788.9407038,12742.317470256006,0.7412432739193298,Increase
BF_vs_AF,Gamma,2,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.3017011538754977,1.3063749137067249,0.004673759831227198,0.3590501412180682,Increase
BF_vs_AF,Gamma,2,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6786471454900103,0.6749916004217427,-0.003655545068267596,-0.5386518005064542,Decrease
BF_vs_AF,Gamma,2,TP10,EN,Entropy,RAW_TP10_EN,5.402429921684916,5.408153099919273,0.00572317823435764,0.10593711195373895,Increase
BF_vs_AF,Gamma,2,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,734270.0767340062,645814.0405059799,-88456.03622802626,-12.046798450710936,Decrease
BF_vs_AF,Gamma,2,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.4035094667184313,0.3859041575221454,-0.01760530919628589,-4.3630473751860865,Decrease
BF_vs_AF,Gamma,2,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1915812.2789246272,1739002.990864179,-176809.28806044813,-9.228946385065123,Decrease
BF_vs_AF,Gamma,2,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.3124326820061245,1.3202405526871723,0.007807870681047824,0.5949158983996856,Increase
BF_vs_AF,Gamma,2,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6744919317622526,0.6685618009039898,-0.005930130858262883,-0.8791996729700182,Decrease
BF_vs_AF,Gamma,2,TP9,EN,Entropy,RAW_TP9_EN,5.41915451248653,5.405564533292939,-0.013589979193591617,-0.25077674316682247,Decrease
BF_vs_AF,Gamma,2,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,645116.943647465,647792.913125887,2675.9694784220774,0.4148037816666626,Increase
BF_vs_AF,Gamma,2,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3960434765248458,0.3942076924066456,-0.0018357841182001788,-0.46353095733544064,Decrease
BF_vs_AF,Gamma,2,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1669724.5463530892,1632539.470265876,-37185.07608721312,-2.227018592284009,Decrease
BF_vs_AF,Gamma,2,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.3183854079597717,1.3139382616334836,-0.004447146326288065,-0.33731762346870287,Decrease
BF_vs_AF,Gamma,2,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6678253846866344,0.6693150986673937,0.0014897139807592552,0.2230693853391449,Increase
BF_vs_AF,Gamma,9,AF7,EN,Entropy,RAW_AF7_EN,5.413944405994572,5.394038459120504,-0.01990594687406766,-0.3676791888004403,Decrease
BF_vs_AF,Gamma,9,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,772020.3350416165,812709.2863321663,40688.95129054983,5.270450717901939,Increase
BF_vs_AF,Gamma,9,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.4025191070732508,0.3890256580970682,-0.013493448976182598,-3.352250548873211,Decrease
BF_vs_AF,Gamma,9,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1943464.212952936,2133898.408393494,190434.19544055779,9.798698333179415,Increase
BF_vs_AF,Gamma,9,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3118449987132106,1.3153866743778055,0.0035416756645949565,0.2699766868851875,Increase
BF_vs_AF,Gamma,9,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6691918055230357,0.666586864418383,-0.0026049411046527027,-0.38926673685382307,Decrease
BF_vs_AF,Gamma,9,AF8,EN,Entropy,RAW_AF8_EN,5.398836662268932,5.399309463206713,0.0004728009377803488,0.008757459566884692,Increase
BF_vs_AF,Gamma,9,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,813991.4481971712,839582.8160802352,25591.36788306397,3.143935718212242,Increase
BF_vs_AF,Gamma,9,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.3950723669232259,0.3831002447074971,-0.011972122215728798,-3.0303618319261827,Decrease
