Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BM,AM,Change,Change_Percent,Direction
BM_vs_AM,Gamma,2,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,664625.1360104525,661888.5108642392,-2736.625146213337,-0.41175468665547105,Decrease
BM_vs_AM,Gamma,2,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.3919933891826045,0.3911227052978993,-0.0008706838847052367,-0.22211698174829198,Decrease
BM_vs_AM,Gamma,2,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1754949.845759902,1719856.9906519991,-35092.85510790278,-1.9996500294689277,Decrease
BM_vs_AM,Gamma,2,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.3173577956294995,1.312442032141466,-0.004915763488033464,-0.37315325451765113,Decrease
BM_vs_AM,Gamma,2,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6643479775455988,0.6703709107956061,0.006022933250007245,0.906593149008849,Increase
BM_vs_AM,Gamma,2,TP10,EN,Entropy,RAW_TP10_EN,5.401897473264614,5.419044560427148,0.01714708716253366,0.31742711236929283,Increase
BM_vs_AM,Gamma,2,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,676230.7627937666,670645.4301353599,-5585.332658406696,-0.8259506910527941,Decrease
BM_vs_AM,Gamma,2,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.385364809267862,0.3913754813182331,0.006010672050371091,1.5597355819257364,Increase
BM_vs_AM,Gamma,2,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1815079.975667294,1743299.8219093902,-71780.15375790396,-3.9546551512979353,Decrease
BM_vs_AM,Gamma,2,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.328842418611994,1.3215874082528605,-0.007255010359133562,-0.5459646875745873,Decrease
BM_vs_AM,Gamma,2,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6581298561497154,0.6672519109273467,0.009122054777631283,1.3860569752903205,Increase
BM_vs_AM,Gamma,2,TP9,EN,Entropy,RAW_TP9_EN,5.40529940334438,5.406654571261583,0.0013551679172030262,0.025071098122049506,Increase
BM_vs_AM,Gamma,2,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,663510.961638608,677245.5369500364,13734.575311428402,2.0699846883477955,Increase
BM_vs_AM,Gamma,2,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3848487950771263,0.398813830185367,0.013965035108240653,3.6287069848931095,Increase
BM_vs_AM,Gamma,2,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1750455.616003353,1698073.5398293936,-52382.0761739593,-2.9924823968720933,Decrease
BM_vs_AM,Gamma,2,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.3349057889071128,1.3129833946965055,-0.021922394210607266,-1.64224280041179,Decrease
BM_vs_AM,Gamma,2,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6591785814659754,0.6724367946284242,0.013258213162448795,2.0113234160253337,Increase
BM_vs_AM,Gamma,9,AF7,EN,Entropy,RAW_AF7_EN,5.411247201234296,5.412296597709663,0.0010493964753663931,0.019392876287873666,Increase
BM_vs_AM,Gamma,9,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,671817.5042435434,709598.2582009684,37780.75395742501,5.623663229788212,Increase
BM_vs_AM,Gamma,9,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3967903402910198,0.4113468095341022,0.014556469243082404,3.6685543383959867,Increase
BM_vs_AM,Gamma,9,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1779008.581178931,1764807.2390225087,-14201.342156422324,-0.7982728305341416,Decrease
BM_vs_AM,Gamma,9,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.319352476200609,1.308320121838753,-0.011032354361856012,-0.8361946152271843,Decrease
BM_vs_AM,Gamma,9,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6649101130536491,0.6741750727648907,0.009264959711241638,1.393415369889867,Increase
BM_vs_AM,Gamma,9,AF8,EN,Entropy,RAW_AF8_EN,5.406447959543798,5.412726130565561,0.006278171021762979,0.11612376681958737,Increase
BM_vs_AM,Gamma,9,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,699860.9760485492,734423.0109083264,34562.034859777195,4.938414348363329,Increase
BM_vs_AM,Gamma,9,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.383614451728682,0.4008411165377836,0.017226664809101566,4.49061935270505,Increase
BM_vs_AM,Gamma,9,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1826589.940826012,1848291.366862162,21701.426036149962,1.1880841753861977,Increase
